dataset_number,r_mm_mean,theta_mean,r_mm_std,theta_std,Delta_r_mm,Delta_theta,Delta_t_s,IB_duration_s
0,16.941,0.8202,0.040,0.0097,2.352,-0.1787,0.160,0.200
0,19.293,0.6415,0.000,-0.0000,0.461,-0.0328,0.040,0.040
0,19.753,0.6088,0.048,0.0060,0.309,-0.1476,0.160,0.240
0,20.062,0.4612,0.098,0.0079,0.033,-0.1570,0.160,0.360
0,20.096,0.3042,0.086,0.0064,1.583,-0.1027,0.160,0.200
0,21.678,0.2015,0.086,0.0036,-2.653,-0.1865,0.200,0.280
0,19.025,0.0151,0.065,0.0057,-1.417,-0.0997,0.200,0.200
0,17.608,-0.0846,0.048,0.0040,-0.373,-0.2858,0.200,0.160
0,17.235,-0.3704,0.025,0.0007,0.043,-0.0311,0.040,0.080
0,17.278,-0.4016,0.101,0.0032,-2.188,-0.2169,0.160,0.080
0,15.089,-0.6185,0.057,0.0116,1.359,-0.2235,0.160,0.280
0,16.448,-0.8420,0.066,0.0111,0.389,-0.0321,0.040,0.120
0,16.837,-0.8741,0.119,0.0063,-0.252,0.0138,0.040,0.160
0,16.585,-0.8603,0.000,-0.0000,2.571,-0.2296,0.200,0.040
0,19.156,-1.0899,0.111,0.0049,0.568,-0.0281,0.040,0.080
0,19.724,-1.1180,0.052,0.0063,-2.523,-0.1453,0.120,0.080
0,17.200,-1.2632,0.051,0.0059,0.167,0.0002,0.040,0.200
0,17.367,-1.2630,0.133,0.0050,-2.394,-0.2051,0.200,0.080
0,14.974,-1.4682,0.073,0.0186,2.345,-0.2233,0.160,0.400
0,17.318,-1.6914,0.000,-0.0000,0.606,-0.0599,0.040,0.040
0,17.925,-1.7514,0.214,0.0169,4.450,-0.0360,0.200,0.440
0,22.375,-1.7874,0.185,0.0052,0.740,-0.0995,0.200,0.160
0,23.115,-1.8869,0.054,0.0031,-0.281,-0.1741,0.200,0.480
0,22.835,-2.0610,0.079,0.0053,2.277,-0.0160,0.120,0.680
0,25.112,-2.0770,0.151,0.0031,-0.009,-0.1400,0.160,0.160
0,25.103,-2.2170,0.059,0.0066,-0.038,-0.0772,0.080,0.320
0,25.065,-2.2942,0.075,0.0072,-0.635,-0.1679,0.160,0.240
0,24.430,-2.4620,0.025,0.0091,-0.012,-0.0251,0.040,0.240
0,24.418,-2.4871,0.061,0.0040,0.300,-0.0705,0.120,0.400
0,24.718,-2.5576,0.023,0.0058,-0.498,-0.1533,0.200,0.120
0,24.220,-2.7109,0.004,0.0020,0.035,-0.0267,0.040,0.080
0,24.255,-2.7376,0.044,0.0063,0.126,-0.0171,0.040,0.280
0,24.381,-2.7547,0.000,-0.0000,-0.737,-0.1355,0.160,0.040
0,23.645,-2.8902,0.042,0.0111,0.795,-0.0304,0.120,0.520
0,24.440,-2.9206,0.000,-0.0000,-2.182,-0.1435,0.200,0.040
0,22.258,-3.0641,0.072,0.0042,2.389,-0.0820,0.120,0.480
0,24.647,3.1371,0.040,0.0052,-2.206,-0.1463,0.160,0.240
0,22.442,2.9908,0.000,-0.0000,0.060,-0.0403,0.040,0.040
0,22.501,2.9506,0.074,0.0102,1.026,-0.1646,0.160,0.400
0,23.528,2.7860,0.000,-0.0000,0.009,-0.0137,0.040,0.040
0,23.537,2.7723,0.000,-0.0000,0.156,-0.0479,0.040,0.040
0,23.693,2.7244,0.047,0.0132,0.843,-0.0224,0.080,0.600
0,24.536,2.7020,0.030,0.0045,-0.450,-0.1804,0.240,0.120
0,24.086,2.5216,0.099,0.0053,0.119,-0.1284,0.160,0.320
0,24.205,2.3932,0.032,0.0029,-0.123,-0.2990,0.320,0.200
0,24.082,2.0942,0.000,-0.0000,-0.299,-0.2318,0.200,0.040
0,23.783,1.8624,0.069,0.0130,-0.098,-0.0236,0.040,0.200
0,23.685,1.8388,0.003,0.0022,-0.969,-0.1727,0.160,0.080
0,22.715,1.6661,0.092,0.0116,-2.513,-0.1621,0.160,0.360
0,20.203,1.5040,0.105,0.0065,0.246,-0.0274,0.040,0.120
0,20.449,1.4766,0.074,0.0063,-4.070,-0.0856,0.200,0.280
0,16.378,1.3910,0.119,0.0057,-5.034,-0.0734,0.240,0.240
0,11.345,1.3176,0.128,0.0044,1.599,-0.5189,0.160,0.160
0,12.944,0.7987,0.000,-0.0000,0.654,-0.0800,0.040,0.040
0,13.597,0.7187,0.209,0.0204,-1.466,-0.3435,0.200,0.280
0,12.131,0.3753,0.000,-0.0000,0.264,-0.0508,0.040,0.040
0,12.395,0.3245,0.016,0.0087,-1.331,-0.3847,0.200,0.120
0,11.064,-0.0602,0.104,0.0133,4.656,-0.4626,0.160,0.120
0,15.720,-0.5228,0.000,-0.0000,-0.163,-0.6181,0.400,0.040
0,15.558,-1.1410,0.089,0.0062,3.940,0.4756,0.240,0.120
0,19.498,-0.6654,0.000,-0.0000,0.567,0.0303,0.040,0.040
0,20.065,-0.6350,0.002,0.0041,2.217,0.0847,0.160,0.080
0,22.282,-0.5504,0.000,-0.0000,0.453,0.0340,0.040,0.040
0,22.735,-0.5164,0.095,0.0081,0.449,0.0340,0.040,0.160
0,23.184,-0.4824,0.130,0.0069,0.924,-0.0037,0.080,0.360
0,24.109,-0.4861,0.253,0.0021,-8.405,0.2213,0.200,0.320
0,15.704,-0.2649,0.239,0.0120,-4.011,-0.3300,0.200,0.240
0,11.693,-0.5949,0.083,0.0080,0.400,-0.3363,0.200,0.160
0,12.093,-0.9312,0.047,0.0085,-8.604,0.4098,0.320,0.200
0,3.489,-0.5214,0.071,0.0167,-0.538,0.1287,0.040,0.160
0,2.951,-0.3927,0.082,0.0362,-0.591,0.1091,0.040,0.200
0,2.360,-0.2835,0.000,-0.0000,1.615,-2.5160,0.280,0.040
0,3.974,-2.7995,0.069,0.0218,3.153,0.4387,0.120,0.440
0,7.128,-2.3608,0.144,0.0040,3.028,-0.0576,0.160,0.080
0,10.156,-2.4184,0.000,-0.0000,0.609,-0.0078,0.040,0.040
0,10.765,-2.4262,0.000,-0.0000,-0.065,-0.3993,0.160,0.040
0,10.700,-2.8255,0.073,0.0108,5.353,-0.1678,0.240,0.120
0,16.053,-2.9933,0.000,-0.0000,0.608,-0.0087,0.040,0.040
0,16.661,-3.0020,0.143,0.0016,-3.443,-0.3531,0.200,0.080
0,13.218,2.9281,0.021,0.0091,0.228,-0.0198,0.040,0.120
0,13.446,2.9083,0.088,0.0067,2.741,-0.1940,0.200,0.120
0,16.186,2.7142,0.130,0.0104,-0.976,-0.3490,0.200,0.200
0,15.210,2.3653,0.017,0.0040,3.463,-0.2019,0.240,0.080
0,18.673,2.1634,0.000,-0.0000,0.446,-0.0211,0.080,0.040
0,19.119,2.1422,0.000,-0.0000,2.784,0.0920,0.160,0.040
0,21.903,2.2343,0.122,0.0024,2.662,0.2356,0.240,0.120
0,24.566,2.4699,0.074,0.0018,-0.070,0.0195,0.040,0.080
0,24.496,2.4894,0.049,0.0072,-2.067,0.3076,0.160,0.160
0,22.429,2.7971,0.108,0.0163,1.031,0.1318,0.120,0.760
0,23.460,2.9288,0.000,0.0000,0.135,0.0253,0.040,0.040
0,23.595,2.9541,0.032,0.0057,1.002,0.0421,0.200,0.240
0,24.597,2.9962,0.138,0.0038,-0.001,0.2548,0.280,0.120
0,24.596,-3.0321,0.104,0.0082,0.008,0.2017,0.160,0.400
0,24.604,-2.8304,0.057,0.0083,0.080,0.1997,0.200,0.320
0,24.684,-2.6307,0.085,0.0128,0.144,0.2043,0.240,0.600
0,24.828,-2.4263,0.050,0.0062,0.097,0.2520,0.280,0.360
0,24.926,-2.1744,0.117,0.0060,0.253,0.0662,0.240,0.200
0,25.179,-2.1082,0.129,0.0026,-0.533,0.1429,0.200,0.440
0,24.645,-1.9652,0.000,-0.0000,0.336,0.0347,0.080,0.040
0,24.981,-1.9306,0.005,0.0026,0.061,0.0919,0.160,0.080
0,25.042,-1.8387,0.098,0.0059,0.117,0.1303,0.120,0.120
0,25.160,-1.7084,0.000,0.0000,-0.051,0.0457,0.040,0.040
0,25.109,-1.6627,0.063,0.0112,-0.274,0.1879,0.200,0.440
0,24.835,-1.4748,0.135,0.0047,0.073,0.1727,0.160,0.160
0,24.908,-1.3020,0.092,0.0118,-0.435,0.1229,0.160,0.440
0,24.473,-1.1791,0.064,0.0105,0.381,0.1358,0.200,0.360
0,24.854,-1.0433,0.000,-0.0000,-0.297,0.1670,0.120,0.040
0,24.557,-0.8763,0.036,0.0130,-2.567,0.2186,0.200,0.280
0,21.990,-0.6577,0.087,0.0083,2.815,-0.0134,0.080,0.200
0,24.804,-0.6710,0.025,0.0065,-0.151,-0.0075,0.040,0.120
0,24.653,-0.6786,0.000,-0.0000,-0.207,0.0906,0.120,0.040
0,24.446,-0.5880,0.199,0.0019,0.311,-0.2665,0.200,0.200
0,24.757,-0.8544,0.078,0.0030,-1.397,-0.2453,0.240,0.240
0,23.361,-1.0997,0.000,-0.0000,-0.085,-0.0095,0.040,0.040
0,23.276,-1.1092,0.000,-0.0000,0.151,-0.0059,0.040,0.040
0,23.427,-1.1150,0.000,0.0000,-0.774,-0.1954,0.200,0.040
0,22.653,-1.3104,0.000,-0.0000,0.050,-0.0329,0.040,0.040
0,22.703,-1.3433,0.048,0.0072,-0.006,-0.0298,0.040,0.160
0,22.697,-1.3731,0.058,0.0088,1.289,-0.2037,0.200,0.200
0,23.987,-1.5769,0.000,-0.0000,0.521,-0.0709,0.080,0.040
0,24.507,-1.6478,0.101,0.0173,0.503,-0.1971,0.200,0.600
0,25.010,-1.8449,0.058,0.0014,0.013,-0.0107,0.040,0.080
0,25.022,-1.8556,0.000,-0.0000,0.077,-0.0219,0.040,0.040
0,25.099,-1.8775,0.101,0.0023,-0.156,-0.0962,0.120,0.160
0,24.943,-1.9737,0.000,-0.0000,0.014,-0.1515,0.160,0.040
0,24.957,-2.1251,0.067,0.0116,-0.250,-0.1881,0.280,0.400
0,24.708,-2.3133,0.069,0.0069,-0.036,-0.1127,0.080,0.240
0,24.672,-2.4259,0.049,0.0049,-0.310,-0.1709,0.200,0.080
0,24.362,-2.5968,0.000,0.0000,0.116,-0.0304,0.040,0.040
0,24.477,-2.6271,0.072,0.0080,0.041,-0.0295,0.040,0.160
0,24.518,-2.6566,0.033,0.0051,-0.734,-0.1665,0.160,0.200
0,23.784,-2.8231,0.042,0.0107,1.018,-0.0149,0.040,0.440
0,24.802,-2.8380,0.000,-0.0000,-0.274,-0.0293,0.040,0.040
0,24.527,-2.8673,0.000,-0.0000,0.005,-0.1672,0.200,0.040
0,24.532,-3.0345,0.037,0.0066,-1.503,-0.1597,0.160,0.240
0,23.029,3.0889,0.000,-0.0000,0.219,-0.0334,0.040,0.040
0,23.248,3.0555,0.057,0.0091,1.162,-0.0990,0.160,0.240
0,24.409,2.9565,0.107,0.0048,-0.321,-0.1737,0.160,0.240
0,24.088,2.7828,0.100,0.0105,0.173,-0.1368,0.120,0.280
0,24.261,2.6461,0.067,0.0125,-0.069,-0.1590,0.120,0.400
0,24.192,2.4870,0.000,0.0000,-0.049,-0.0370,0.080,0.040
0,24.144,2.4500,0.090,0.0039,-0.086,-0.1483,0.120,0.200
0,24.058,2.3018,0.051,0.0066,-0.234,-0.1506,0.120,0.360
0,23.823,2.1512,0.101,0.0090,0.088,-0.0207,0.040,0.280
0,23.911,2.1305,0.042,0.0023,0.482,0.0127,0.040,0.120
0,24.393,2.1432,0.000,-0.0000,-1.291,-0.1569,0.200,0.040
0,23.103,1.9863,0.047,0.0029,-2.844,-0.2494,0.240,0.280
0,20.259,1.7369,0.095,0.0162,-1.822,-0.2315,0.160,0.280
0,18.437,1.5054,0.000,-0.0000,-0.034,-0.0288,0.040,0.040
0,18.403,1.4766,0.000,-0.0000,-0.032,-0.0352,0.040,0.040
0,18.371,1.4414,0.051,0.0031,-0.959,-0.1849,0.160,0.120
0,17.412,1.2565,0.039,0.0152,-1.531,-0.2104,0.160,0.320
0,15.880,1.0461,0.036,0.0089,-0.093,-0.0457,0.040,0.080
0,15.788,1.0004,0.026,0.0101,-5.030,-0.0662,0.160,0.240
0,10.758,0.9343,0.000,-0.0000,-0.233,-0.0548,0.040,0.040
0,10.525,0.8795,0.074,0.0092,3.578,-0.3968,0.240,0.120
0,14.103,0.4827,0.245,0.0184,3.256,-0.1622,0.200,0.280
0,17.359,0.3205,0.107,0.0026,-1.004,-0.4030,0.320,0.160
0,16.355,-0.0825,0.000,-0.0000,0.129,-0.0057,0.080,0.040
0,16.484,-0.0882,0.000,-0.0000,-4.899,-0.2708,0.200,0.040
0,11.585,-0.3590,0.000,0.0000,-0.390,-0.0541,0.040,0.040
0,11.195,-0.4131,0.129,0.0151,-0.568,-0.3947,0.200,0.120
0,10.627,-0.8078,0.062,0.0091,0.284,-0.0803,0.040,0.080
0,10.911,-0.8881,0.103,0.0112,2.120,-0.1661,0.160,0.240
0,13.030,-1.0543,0.000,-0.0000,0.199,-0.0203,0.040,0.040
0,13.229,-1.0745,0.054,0.0034,3.048,-0.2403,0.240,0.120
0,16.277,-1.3148,0.000,0.0000,0.452,-0.0201,0.040,0.040
0,16.728,-1.3350,0.093,0.0038,0.458,-0.0115,0.040,0.120
0,17.186,-1.3465,0.064,0.0066,0.796,-0.3140,0.240,0.240
0,17.982,-1.6605,0.000,-0.0000,0.488,-0.0470,0.040,0.040
0,18.470,-1.7075,0.196,0.0107,1.131,0.0117,0.120,0.240
0,19.601,-1.6958,0.062,0.0037,2.566,-0.1515,0.160,0.160
0,22.167,-1.8472,0.117,0.0038,0.470,-0.0014,0.040,0.120
0,22.637,-1.8487,0.000,-0.0000,2.512,-0.1316,0.240,0.040
0,25.150,-1.9802,0.094,0.0053,0.065,-0.1139,0.120,0.360
0,25.215,-2.0942,0.117,0.0068,-2.467,-0.1338,0.160,0.360
0,22.747,-2.2279,0.076,0.0108,2.375,-0.0445,0.120,0.360
0,25.122,-2.2724,0.048,0.0025,-0.296,-0.1248,0.120,0.200
0,24.826,-2.3972,0.053,0.0081,-0.014,-0.0153,0.040,0.200
0,24.812,-2.4126,0.120,0.0024,-2.092,-0.2615,0.280,0.120
0,22.720,-2.6741,0.037,0.0078,1.849,-0.1469,0.160,0.320
0,24.569,-2.8210,0.113,0.0099,-1.860,-0.2499,0.280,0.360
0,22.709,-3.0710,0.068,0.0218,-3.266,-0.0903,0.120,0.640
0,19.443,3.1219,0.000,-0.0000,-0.133,-0.0197,0.040,0.040
0,19.310,3.1022,0.000,-0.0000,-0.117,-0.0147,0.040,0.040
0,19.193,3.0875,0.068,0.0050,2.871,-0.2038,0.240,0.120
0,22.064,2.8837,0.000,-0.0000,0.299,-0.0199,0.040,0.040
0,22.363,2.8638,0.115,0.0063,1.318,-0.0923,0.200,0.160
0,23.681,2.7715,0.043,0.0041,1.092,-0.0186,0.120,0.240
0,24.773,2.7529,0.030,0.0006,-0.485,-0.2482,0.240,0.080
0,24.288,2.5047,0.074,0.0071,0.047,-0.0644,0.080,0.280
0,24.335,2.4403,0.000,-0.0000,-3.198,-0.2297,0.280,0.040
0,21.137,2.2106,0.026,0.0063,2.342,-0.0971,0.160,0.240
0,23.479,2.1135,0.199,0.0076,0.254,-0.1408,0.160,0.280
0,23.734,1.9728,0.074,0.0026,0.037,-0.0195,0.040,0.080
0,23.770,1.9533,0.075,0.0076,-0.703,-0.1629,0.160,0.320
0,23.067,1.7904,0.070,0.0129,0.237,-0.2404,0.200,0.280
0,23.304,1.5500,0.024,0.0062,-0.055,-0.0562,0.040,0.080
0,23.249,1.4939,0.079,0.0143,-1.633,-0.1489,0.160,0.480
0,21.616,1.3450,0.165,0.0073,-1.165,-0.1632,0.200,0.240
0,20.452,1.1818,0.032,0.0092,-1.378,-0.2089,0.160,0.200
0,19.073,0.9729,0.000,-0.0000,-0.006,-0.0466,0.040,0.040
0,19.068,0.9263,0.041,0.0050,2.098,-0.2088,0.200,0.120
0,21.166,0.7175,0.100,0.0039,-3.643,-0.2640,0.200,0.160
0,17.523,0.4535,0.000,-0.0000,0.173,-0.0609,0.080,0.040
0,17.695,0.3926,0.035,0.0069,-2.280,-0.3281,0.240,0.120
0,15.415,0.0645,0.133,0.0100,6.612,-0.0934,0.200,0.160
0,22.027,-0.0289,0.000,-0.0000,-4.972,-0.5081,0.240,0.040
0,17.056,-0.5370,0.052,0.0060,0.010,-0.0153,0.040,0.080
0,17.065,-0.5523,0.000,-0.0000,7.228,-0.1009,0.440,0.040
0,24.294,-0.6532,0.091,0.0043,0.311,-0.1190,0.120,0.280
0,24.605,-0.7723,0.000,0.0000,-0.542,0.0026,0.040,0.040
0,24.062,-0.7696,0.000,-0.0000,0.868,-0.4148,0.280,0.040
0,24.930,-1.1845,0.155,0.0136,-0.069,-0.1284,0.160,0.560
0,24.861,-1.3129,0.092,0.0063,-1.044,-0.1598,0.120,0.640
0,23.818,-1.4727,0.104,0.0089,1.122,0.2063,0.200,1.120
0,24.940,-1.2664,0.188,0.0035,-1.007,-0.2205,0.160,0.240
0,23.932,-1.4869,0.081,0.0104,0.881,0.1298,0.120,0.920
0,24.813,-1.3571,0.000,-0.0000,0.366,0.0114,0.080,0.040
0,25.179,-1.3457,0.070,0.0019,-1.459,-0.2351,0.160,0.120
0,23.720,-1.5809,0.098,0.0030,-5.100,-0.0944,0.160,0.280
0,18.619,-1.6752,0.046,0.0016,-0.182,0.5222,0.240,0.160
0,18.437,-1.1531,0.097,0.0068,3.942,-0.0275,0.160,0.280
0,22.380,-1.1805,0.142,0.0051,1.711,0.0083,0.120,0.280
0,24.091,-1.1722,0.107,0.0061,0.870,-0.2653,0.360,0.240
0,24.960,-1.4375,0.092,0.0030,-0.624,-0.2024,0.200,0.080
0,24.336,-1.6399,0.069,0.0059,0.511,0.2055,0.120,0.360
0,24.847,-1.4344,0.484,0.0057,-4.054,0.2709,0.200,0.320
0,20.794,-1.1636,0.180,0.0177,-3.650,0.2421,0.160,0.480
0,17.143,-0.9215,0.066,0.0067,-0.022,0.0542,0.080,0.080
0,17.121,-0.8672,0.090,0.0076,1.322,0.3389,0.240,0.120
0,18.443,-0.5283,0.099,0.0080,5.801,0.0566,0.240,0.160
0,24.244,-0.4718,0.076,0.0014,-0.132,-0.0147,0.040,0.120
0,24.112,-0.4865,0.194,0.0060,-1.226,-0.2043,0.160,0.240
0,22.886,-0.6908,0.028,0.0011,-0.096,-0.0919,0.120,0.160
0,22.791,-0.7827,0.000,-0.0000,1.870,0.1504,0.120,0.040
0,24.660,-0.6322,0.027,0.0003,-0.099,-0.0961,0.200,0.080
0,24.562,-0.7283,0.002,0.0015,0.357,-0.1735,0.160,0.080
0,24.919,-0.9019,0.101,0.0046,-0.188,-0.2482,0.200,0.200
0,24.731,-1.1501,0.044,0.0056,0.033,-0.0229,0.040,0.120
0,24.764,-1.1730,0.189,0.0048,0.034,-0.1171,0.120,0.160
0,24.798,-1.2901,0.086,0.0083,-0.042,-0.1772,0.160,0.360
0,24.757,-1.4673,0.081,0.0103,-0.272,-0.1309,0.160,0.440
0,24.484,-1.5982,0.057,0.0048,0.687,0.0323,0.080,0.600
0,25.171,-1.5660,0.104,0.0036,-0.174,-0.1266,0.120,0.200
0,24.997,-1.6926,0.039,0.0048,-0.763,-0.1616,0.120,0.280
0,24.234,-1.8542,0.084,0.0133,0.922,-0.0138,0.040,0.560
0,25.156,-1.8681,0.000,-0.0000,0.018,-0.0808,0.080,0.040
0,25.174,-1.9489,0.000,-0.0000,-0.219,-0.1637,0.160,0.040
0,24.955,-2.1125,0.105,0.0084,-0.132,-0.1691,0.160,0.320
0,24.823,-2.2816,0.020,0.0089,-0.123,-0.3016,0.280,0.120
0,24.700,-2.5832,0.050,0.0057,-0.346,-0.2367,0.240,0.240
0,24.354,-2.8199,0.096,0.0080,-2.459,-0.2502,0.240,0.160
0,21.896,-3.0701,0.136,0.0158,3.004,0.0777,0.120,0.520
0,24.900,-2.9924,0.008,0.0002,-0.155,0.0134,0.040,0.080
0,24.744,-2.9790,0.000,-0.0000,0.042,-0.0287,0.120,0.040
0,24.786,-3.0077,0.132,0.0026,0.173,0.2503,0.160,0.240
0,24.959,-2.7574,0.086,0.0039,-0.044,0.0194,0.160,0.240
0,24.915,-2.7380,0.061,0.0039,0.130,0.6854,0.520,0.080
0,25.045,-2.0526,0.084,0.0134,0.181,0.0119,0.120,0.480
0,25.226,-2.0407,0.000,-0.0000,-0.111,0.1642,0.120,0.040
0,25.115,-1.8765,0.067,0.0063,-0.112,0.1611,0.120,0.240
0,25.003,-1.7154,0.056,0.0145,-0.096,0.3203,0.320,0.360
0,24.907,-1.3951,0.062,0.0101,-0.024,0.1355,0.120,0.520
0,24.883,-1.2595,0.084,0.0061,-0.249,0.1876,0.200,0.200
0,24.635,-1.0719,0.069,0.0161,-0.103,0.1819,0.200,0.880
0,24.532,-0.8901,0.170,0.0041,-0.283,0.1781,0.160,0.120
0,24.249,-0.7119,0.000,-0.0000,0.014,0.0186,0.040,0.040
0,24.263,-0.6933,0.009,0.0026,-0.325,0.2419,0.200,0.080
0,23.938,-0.4514,0.024,0.0070,-0.038,0.0195,0.040,0.120
0,23.900,-0.4319,0.033,0.0026,-0.038,0.0205,0.040,0.120
0,23.862,-0.4114,0.069,0.0054,-2.433,0.2368,0.200,0.400
0,21.429,-0.1747,0.161,0.0104,2.626,-0.0672,0.080,0.600
0,24.055,-0.2419,0.058,0.0043,-0.093,0.0181,0.040,0.120
0,23.962,-0.2238,0.000,-0.0000,0.007,-0.1644,0.120,0.040
0,23.968,-0.3881,0.136,0.0011,-2.564,-0.3304,0.280,0.120
0,21.404,-0.7185,0.092,0.0016,0.558,-0.2200,0.240,0.120
0,21.962,-0.9385,0.000,-0.0000,0.276,-0.0248,0.040,0.040
0,22.237,-0.9634,0.051,0.0021,1.500,0.0174,0.160,0.200
0,23.737,-0.9459,0.265,0.0101,0.065,-0.1398,0.200,0.640
0,23.802,-1.0857,0.178,0.0040,1.268,-0.0101,0.120,0.120
0,25.070,-1.0959,0.000,-0.0000,-0.189,-0.2036,0.160,0.040
0,24.881,-1.2995,0.094,0.0048,-1.073,-0.2225,0.200,0.200
0,23.808,-1.5220,0.030,0.0077,1.240,-0.0860,0.160,0.240
0,25.048,-1.6080,0.102,0.0058,-2.014,-0.1525,0.120,0.280
0,23.034,-1.7605,0.079,0.0044,2.311,0.0607,0.080,0.400
0,25.345,-1.6998,0.069,0.0036,-0.532,0.2491,0.200,0.200
0,24.813,-1.4507,0.277,0.0073,-1.778,0.1661,0.200,0.360
0,23.035,-1.2847,0.116,0.0077,-0.315,0.1898,0.160,0.600
0,22.720,-1.0949,0.071,0.0176,2.307,0.0695,0.120,0.600
0,25.027,-1.0254,0.000,-0.0000,-1.080,0.1833,0.200,0.040
0,23.946,-0.8421,0.000,-0.0000,-0.013,0.0395,0.040,0.040
0,23.934,-0.8026,0.050,0.0110,0.555,0.0949,0.160,0.480
0,24.489,-0.7078,0.000,-0.0000,-0.268,0.1245,0.120,0.040
0,24.222,-0.5833,0.000,-0.0000,-0.111,0.0501,0.080,0.040
0,24.111,-0.5332,0.036,0.0080,-0.258,0.1323,0.200,0.240
0,23.852,-0.4009,0.087,0.0032,-0.173,0.1766,0.160,0.120
0,23.679,-0.2243,0.049,0.0128,-1.179,0.2279,0.280,0.280
0,22.500,0.0036,0.044,0.0019,-0.148,0.0397,0.040,0.080
0,22.352,0.0433,0.107,0.0133,-1.737,0.1453,0.120,0.280
0,20.615,0.1886,0.000,-0.0000,0.007,0.0723,0.080,0.040
0,20.622,0.2609,0.019,0.0026,-0.020,0.0375,0.040,0.080
0,20.603,0.2984,0.074,0.0068,-0.068,0.2424,0.240,0.160
0,20.535,0.5407,0.050,0.0058,0.211,0.0445,0.040,0.120
0,20.746,0.5852,0.071,0.0125,0.066,0.0395,0.040,0.280
0,20.812,0.6247,0.000,-0.0000,-0.777,0.1937,0.200,0.040
0,20.035,0.8184,0.000,0.0064,0.044,0.0508,0.040,0.080
0,20.078,0.8692,0.047,0.0084,-1.591,0.2582,0.240,0.360
0,18.488,1.1274,0.063,0.0126,0.326,0.1033,0.080,0.400
0,18.814,1.2307,0.000,-0.0000,0.096,0.0482,0.040,0.040
0,18.910,1.2788,0.106,0.0035,3.328,-0.1521,0.160,0.200
0,22.238,1.1267,0.073,0.0029,-2.899,-0.2933,0.160,0.240
0,19.339,0.8334,0.000,-0.0000,0.428,-0.0125,0.040,0.040
0,19.767,0.8208,0.139,0.0015,-1.814,-0.1788,0.160,0.160
0,17.953,0.6420,0.092,0.0024,-5.938,-0.2766,0.240,0.080
0,12.015,0.3654,0.179,0.0141,6.181,-0.1353,0.320,0.160
0,18.195,0.2301,0.000,0.0000,0.420,-0.0121,0.040,0.040
0,18.615,0.2180,0.078,0.0026,4.713,-0.2934,0.320,0.080
0,23.328,-0.0753,0.107,0.0031,-0.650,-0.1664,0.200,0.240
0,22.678,-0.2417,0.068,0.0058,1.032,-0.0423,0.120,0.560
0,23.710,-0.2839,0.065,0.0008,0.013,-0.0127,0.040,0.080
0,23.723,-0.2967,0.000,0.0000,0.115,-0.1931,0.200,0.040
0,23.838,-0.4898,0.000,0.0000,0.171,-0.0506,0.080,0.040
0,24.010,-0.5404,0.066,0.0065,0.152,-0.0799,0.080,0.160
0,24.162,-0.6203,0.020,0.0007,0.096,-0.0144,0.040,0.080
0,24.258,-0.6347,0.068,0.0015,0.111,-0.1723,0.120,0.240
0,24.369,-0.8070,0.000,-0.0000,0.029,-0.0281,0.040,0.040
0,24.398,-0.8351,0.055,0.0005,0.368,-0.1639,0.240,0.080
0,24.766,-0.9990,0.000,-0.0000,-0.183,-0.0187,0.040,0.040
0,24.583,-1.0177,0.000,-0.0000,0.163,-0.0130,0.040,0.040
0,24.745,-1.0307,0.141,0.0074,0.064,-0.1328,0.120,0.160
0,24.810,-1.1635,0.036,0.0001,-0.111,-0.1977,0.200,0.080
0,24.699,-1.3612,0.000,0.0000,0.200,-0.0389,0.040,0.040
0,24.899,-1.4001,0.093,0.0096,0.100,-0.1197,0.120,0.440
0,24.999,-1.5198,0.000,0.0000,-0.084,-0.0149,0.040,0.040
0,24.915,-1.5346,0.074,0.0041,0.062,-0.1745,0.160,0.080
0,24.978,-1.7091,0.101,0.0112,0.014,-0.1373,0.120,0.320
0,24.991,-1.8464,0.024,0.0076,0.071,-0.1701,0.120,0.240
0,25.063,-2.0164,0.000,-0.0000,-0.215,-0.0230,0.040,0.040
0,24.848,-2.0395,0.000,0.0000,0.040,-0.1446,0.160,0.040
0,24.889,-2.1840,0.049,0.0141,-0.237,-0.2814,0.280,0.400
0,24.652,-2.4654,0.149,0.0139,-0.724,-0.1800,0.160,0.240
0,23.929,-2.6454,0.000,-0.0000,0.321,-0.0479,0.080,0.040
0,24.249,-2.6933,0.051,0.0069,0.732,0.0403,0.040,0.560
0,24.981,-2.6531,0.000,-0.0000,-0.057,-0.0592,0.160,0.040
0,24.924,-2.7123,0.067,0.0021,-0.602,-0.0062,0.040,0.160
0,24.322,-2.7185,0.137,0.0012,-5.848,-0.1200,0.200,0.120
0,18.473,-2.8385,0.188,0.0091,0.227,0.6873,0.360,0.240
0,18.700,-2.1512,0.000,-0.0000,0.267,0.0854,0.040,0.040
0,18.968,-2.0657,0.134,0.0275,3.268,0.1582,0.200,0.360
0,22.235,-1.9076,0.154,0.0064,2.424,0.0939,0.160,0.240
0,24.659,-1.8136,0.229,0.0047,0.636,-0.0204,0.040,0.280
0,25.296,-1.8340,0.166,0.0021,-0.252,-0.1541,0.120,0.280
0,25.044,-1.9881,0.152,0.0044,0.187,-0.1290,0.120,0.200
0,25.232,-2.1171,0.071,0.0035,-0.108,0.1782,0.200,0.480
0,25.124,-1.9389,0.090,0.0052,-2.796,0.2629,0.200,0.120
